,Country,Region,Rank,Score,Standard Error,Economy,Family,Health,Freedom,Trust in Government,Generosity,ISO,Income,Precip./month (mm),Temp. (ºC)
0,Switzerland,Western Europe,1,7.587000000000001,0.03411,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,CHE,HIC,125.06,6.75
1,Iceland,Western Europe,2,7.561,0.048839999999999995,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,ISL,HIC,85.7,2.78
2,Denmark,Western Europe,3,7.527,0.033280000000000004,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,DNK,HIC,60.23,8.57
3,Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,NOR,HIC,85.28,1.55
4,Canada,North America,5,7.4270000000000005,0.03553,1.32629,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,CAN,HIC,38.62,-6.11
5,Finland,Western Europe,6,7.406000000000001,0.0314,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,FIN,HIC,48.84,2.05
6,Netherlands,Western Europe,7,7.377999999999999,0.027989999999999998,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,NLD,HIC,66.94,10.25
7,Sweden,Western Europe,8,7.364,0.03157,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,SWE,HIC,59.31,2.44
8,New Zealand,Australia and New Zealand,9,7.2860000000000005,0.033710000000000004,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,NZL,HIC,141.61,10.62
9,Australia,Australia and New Zealand,10,7.284,0.04083,1.33358,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,AUS,HIC,46.35,21.5
10,Israel,Middle East and Northern Africa,11,7.278,0.0347,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,ISR,HIC,22.48,21.0
11,Costa Rica,Latin America and Caribbean,12,7.226,0.044539999999999996,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.10583,0.25497,CRI,UMC,252.77,25.28
12,Austria,Western Europe,13,7.2,0.03751,1.33723,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,AUT,HIC,96.72,7.49
13,Mexico,Latin America and Caribbean,14,7.187,0.041760000000000005,1.02054,0.91451,0.8144399999999999,0.48181,0.21311999999999998,0.14074,MEX,UMC,62.06,21.71
14,United States,North America,15,7.119,0.03839,1.3945100000000001,1.24711,0.86179,0.54604,0.1589,0.40105,USA,HIC,57.76,7.36
15,Brazil,Latin America and Caribbean,16,6.983,0.040760000000000005,0.98124,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,BRA,UMC,152.66,25.47
16,Luxembourg,Western Europe,17,6.946000000000001,0.03499,1.5639100000000001,1.21963,0.91894,0.61583,0.37798000000000004,0.28034000000000003,LUX,HIC,80.79,10.08
17,Ireland,Western Europe,18,6.94,0.03676,1.33596,1.36948,0.89533,0.6177699999999999,0.28703,0.45901000000000003,IRL,HIC,103.05,9.39
18,Belgium,Western Europe,19,6.937,0.03595,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,BEL,HIC,73.89,10.42
19,United Arab Emirates,Middle East and Northern Africa,20,6.901,0.03729,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,ARE,HIC,3.55,27.86
20,United Kingdom,Western Europe,21,6.867000000000001,0.01866,1.26637,1.28548,0.90943,0.59625,0.32066999999999996,0.51912,GBR,HIC,109.06,9.03
21,Oman,Middle East and Northern Africa,22,6.853,0.05335,1.36011,1.08182,0.76276,0.63274,0.32524000000000003,0.21541999999999997,OMN,HIC,6.09,26.23
22,Venezuela,Latin America and Caribbean,23,6.81,0.06476,1.04424,1.25596,0.7205199999999999,0.42908,0.11069000000000001,0.058410000000000004,VEN,UMC,168.61,25.85
23,Singapore,Southeastern Asia,24,6.797999999999999,0.0378,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,SGP,HIC,210.98,27.57
24,Panama,Latin America and Caribbean,25,6.7860000000000005,0.0491,1.0635299999999999,1.1985,0.79661,0.5421,0.0927,0.24434,PAN,HIC,241.62,25.56
25,Germany,Western Europe,26,6.75,0.01848,1.32792,1.2993700000000001,0.89186,0.6147699999999999,0.21843,0.28214,DEU,HIC,61.45,9.36
26,Chile,Latin America and Caribbean,27,6.67,0.057999999999999996,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,CHL,HIC,52.08,8.06
27,Qatar,Middle East and Northern Africa,28,6.611000000000001,0.06257,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,QAT,HIC,2.98,28.46
28,France,Western Europe,29,6.575,0.03512,1.27778,1.2603799999999998,0.9457899999999999,0.55011,0.20646,0.12332,FRA,HIC,71.27,11.46
29,Argentina,Latin America and Caribbean,30,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,ARG,UMC,46.62,14.32
30,Czech Republic,Central and Eastern Europe,31,6.505,0.04168,1.17898,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,CZE,HIC,59.87,8.72
31,Uruguay,Latin America and Caribbean,32,6.485,0.04539,1.06166,1.2089,0.8116,0.6036199999999999,0.24558000000000002,0.2324,URY,HIC,99.43,18.2
32,Colombia,Latin America and Caribbean,33,6.477,0.05051,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,COL,UMC,232.16,24.98
33,Thailand,Southeastern Asia,34,6.455,0.03557,0.9669,1.26504,0.7385,0.5566399999999999,0.031869999999999996,0.5763,THA,UMC,153.93,26.45
34,Saudi Arabia,Middle East and Northern Africa,35,6.4110000000000005,0.04633,1.39541,1.0839299999999998,0.72025,0.31048000000000003,0.32524000000000003,0.13706,SAU,HIC,5.6,25.8
35,Spain,Western Europe,36,6.329,0.03468,1.23011,1.31379,0.95562,0.45951000000000003,0.06398,0.18227000000000002,ESP,HIC,52.0,14.66
36,Malta,Western Europe,37,6.3020000000000005,0.04206,1.2074,1.30203,0.88721,0.60365,0.13585999999999998,0.51752,MLT,HIC,34.45,19.35
37,Taiwan,Eastern Asia,38,6.297999999999999,0.03868,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,CHN,UMC,50.14,6.98
38,Kuwait,Middle East and Northern Africa,39,6.295,0.04456,1.5542200000000002,1.16594,0.72492,0.55499,0.25609,0.16228,KWT,HIC,7.66,26.43
39,Suriname,Latin America and Caribbean,40,6.269,0.09811,0.99534,0.972,0.6082,0.5965699999999999,0.13633,0.16990999999999998,SUR,UMC,188.58,26.13
40,Trinidad and Tobago,Latin America and Caribbean,41,6.167999999999999,0.10895,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,TTO,HIC,133.98,26.62
41,El Salvador,Latin America and Caribbean,42,6.13,0.056179999999999994,0.76454,1.0250700000000001,0.67737,0.4035,0.11775999999999999,0.10692,SLV,LMC,154.06,25.28
42,Guatemala,Latin America and Caribbean,43,6.122999999999999,0.052239999999999995,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,GTM,UMC,213.77,24.29
43,Uzbekistan,Central and Eastern Europe,44,6.002999999999999,0.04361,0.63244,1.34043,0.59772,0.6582100000000001,0.30826,0.22837,UZB,LMC,17.77,12.83
44,Slovakia,Central and Eastern Europe,45,5.995,0.04267,1.1689100000000001,1.26999,0.7890199999999999,0.31751,0.03431,0.16893,SVK,HIC,63.82,8.97
45,Japan,Eastern Asia,46,5.987,0.03581,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,JPN,HIC,142.89,12.11
46,South Korea,Eastern Asia,47,5.984,0.04098,1.24461,0.9577399999999999,0.9653799999999999,0.33208000000000004,0.07857,0.18557,KOR,HIC,125.87,11.87
47,Ecuador,Latin America and Caribbean,48,5.975,0.04528,0.8640200000000001,0.99903,0.79075,0.48573999999999995,0.1809,0.11540999999999998,ECU,UMC,176.54,22.19
48,Bahrain,Middle East and Northern Africa,49,5.96,0.05412,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,BHR,HIC,2.91,28.7
49,Italy,Western Europe,50,5.9479999999999995,0.03914,1.25114,1.19777,0.9544600000000001,0.26236,0.02901,0.22823000000000002,ITA,HIC,77.93,13.32
